complaint_text,category,priority
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
Train stopped between stations during long distance travel,Delay,Medium
Dust and dirt inside coach affecting passengers,Cleanliness,Medium
Food quality is very bad in AC coach,Food,Low
Fire accident in coach,Safety,High
Dirty washroom in coach during night journey,Cleanliness,Medium
Emergency chain not working,Safety,High
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Delay due to technical issue in AC coach,Delay,Medium
Delay due to technical issue in sleeper coach,Delay,Medium
Water leakage in washroom affecting passengers,Cleanliness,Medium
Coach floor is dirty,Cleanliness,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Staff behavior is rude affecting passengers,Staff,Medium
Toilet smells very bad near washroom area,Cleanliness,Medium
Toilet smells very bad during long distance travel,Cleanliness,Medium
Emergency chain not working,Safety,High
Door broken and unsafe in AC coach,Safety,High
Train stopped between stations,Delay,Medium
Late arrival at destination near washroom area,Delay,Medium
Overpriced food items affecting passengers,Food,Low
Unexpected halt for long time in sleeper coach,Delay,Medium
Stale food served affecting passengers,Food,Low
Fire accident in coach near washroom area,Safety,High
Ticket examiner not cooperative,Staff,Medium
Dirty washroom in coach near washroom area,Cleanliness,Medium
Staff not helping passengers near washroom area,Staff,Medium
Staff behavior is rude in sleeper coach,Staff,Medium
Food packaging is poor affecting passengers,Food,Low
Passenger injured due to sudden brake in AC coach,Safety,High
Ticket examiner not cooperative during night journey,Staff,Medium
Overpriced food items near washroom area,Food,Low
Passenger injured due to sudden brake,Safety,High
Food packaging is poor during long distance travel,Food,Low
Staff behavior is rude during long distance travel,Staff,Medium
Staff not helping passengers affecting passengers,Staff,Medium
Staff behavior is rude in sleeper coach,Staff,Medium
Toilet smells very bad,Cleanliness,Medium
Food packaging is poor near washroom area,Food,Low
Train running behind schedule in sleeper coach,Delay,Medium
Food packaging is poor affecting passengers,Food,Low
Food quality is very bad in sleeper coach,Food,Low
Staff behavior is rude during night journey,Staff,Medium
Door broken and unsafe in AC coach,Safety,High
Emergency chain not working affecting passengers,Safety,High
Smoke inside coach causing panic near washroom area,Safety,High
No food available in pantry near washroom area,Food,Low
Electric shock near charging point in AC coach,Safety,High
Food quality is very bad in sleeper coach,Food,Low
Overpriced food items affecting passengers,Food,Low
Train running behind schedule during long distance travel,Delay,Medium
Passenger injured due to sudden brake affecting passengers,Safety,High
Door broken and unsafe in AC coach,Safety,High
Train running behind schedule during long distance travel,Delay,Medium
Door broken and unsafe near washroom area,Safety,High
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Passenger injured due to sudden brake near washroom area,Safety,High
Stale food served affecting passengers,Food,Low
Dust and dirt inside coach,Cleanliness,Medium
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Staff not helping passengers during long distance travel,Staff,Medium
Ticket examiner not cooperative,Staff,Medium
No response from railway staff near washroom area,Staff,Medium
Staff not helping passengers affecting passengers,Staff,Medium
Stale food served in AC coach,Food,Low
No food available in pantry affecting passengers,Food,Low
Passenger injured due to sudden brake in AC coach,Safety,High
Unprofessional staff behavior,Staff,Medium
Train running behind schedule near washroom area,Delay,Medium
Dust and dirt inside coach during night journey,Cleanliness,Medium
Staff ignored passenger complaint during night journey,Staff,Medium
Ticket examiner not cooperative in AC coach,Staff,Medium
Overpriced food items near washroom area,Food,Low
Staff ignored passenger complaint during long distance travel,Staff,Medium
Food packaging is poor affecting passengers,Food,Low
Train running behind schedule,Delay,Medium
Food not hygienic during night journey,Food,Low
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Food quality is very bad affecting passengers,Food,Low
No food available in pantry during long distance travel,Food,Low
Door broken and unsafe in AC coach,Safety,High
Train delayed by 5 hours,Delay,Medium
Fire accident in coach affecting passengers,Safety,High
Staff ignored passenger complaint during long distance travel,Staff,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Unprofessional staff behavior near washroom area,Staff,Medium
Food not hygienic affecting passengers,Food,Low
Train running behind schedule near washroom area,Delay,Medium
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Late arrival at destination near washroom area,Delay,Medium
Train running behind schedule during long distance travel,Delay,Medium
Door broken and unsafe during long distance travel,Safety,High
Unexpected halt for long time,Delay,Medium
Ticket examiner not cooperative in AC coach,Staff,Medium
Overpriced food items,Food,Low
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Overpriced food items during night journey,Food,Low
Stale food served near washroom area,Food,Low
Dust and dirt inside coach during night journey,Cleanliness,Medium
Train running behind schedule affecting passengers,Delay,Medium
Water leakage in washroom affecting passengers,Cleanliness,Medium
Delay due to technical issue during night journey,Delay,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
Ticket examiner not cooperative during night journey,Staff,Medium
Staff behavior is rude near washroom area,Staff,Medium
Food quality is very bad during night journey,Food,Low
Passenger injured due to sudden brake near washroom area,Safety,High
Unexpected halt for long time near washroom area,Delay,Medium
Dust and dirt inside coach affecting passengers,Cleanliness,Medium
Fire accident in coach during night journey,Safety,High
Unexpected halt for long time in AC coach,Delay,Medium
Late arrival at destination during night journey,Delay,Medium
Unexpected halt for long time during night journey,Delay,Medium
Ticket examiner not cooperative near washroom area,Staff,Medium
No response from railway staff during night journey,Staff,Medium
Door broken and unsafe near washroom area,Safety,High
Staff behavior is rude during night journey,Staff,Medium
Delay due to technical issue during night journey,Delay,Medium
Dirty washroom in coach during night journey,Cleanliness,Medium
Unprofessional staff behavior affecting passengers,Staff,Medium
Late arrival at destination near washroom area,Delay,Medium
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Unprofessional staff behavior,Staff,Medium
Unprofessional staff behavior during long distance travel,Staff,Medium
Dirty washroom in coach in AC coach,Cleanliness,Medium
No food available in pantry near washroom area,Food,Low
Washroom door broken and dirty affecting passengers,Cleanliness,Medium
Unexpected halt for long time in AC coach,Delay,Medium
Fire accident in coach affecting passengers,Safety,High
Staff not helping passengers during night journey,Staff,Medium
Delay due to technical issue in sleeper coach,Delay,Medium
Staff ignored passenger complaint during long distance travel,Staff,Medium
Staff behavior is rude in AC coach,Staff,Medium
Stale food served in AC coach,Food,Low
Food quality is very bad in sleeper coach,Food,Low
Unprofessional staff behavior in AC coach,Staff,Medium
Passenger injured due to sudden brake,Safety,High
Coach floor is dirty near washroom area,Cleanliness,Medium
Coach floor is dirty,Cleanliness,Medium
Train stopped between stations during night journey,Delay,Medium
Door broken and unsafe in sleeper coach,Safety,High
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
No response from railway staff in sleeper coach,Staff,Medium
Staff not helping passengers near washroom area,Staff,Medium
Emergency chain not working in sleeper coach,Safety,High
Late arrival at destination in AC coach,Delay,Medium
Unprofessional staff behavior in AC coach,Staff,Medium
Stale food served near washroom area,Food,Low
Staff not helping passengers in sleeper coach,Staff,Medium
Emergency chain not working in sleeper coach,Safety,High
Train stopped between stations during night journey,Delay,Medium
Dust and dirt inside coach during night journey,Cleanliness,Medium
Train stopped between stations during night journey,Delay,Medium
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
Train running behind schedule during long distance travel,Delay,Medium
Unprofessional staff behavior affecting passengers,Staff,Medium
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Washroom door broken and dirty,Cleanliness,Medium
Food not hygienic near washroom area,Food,Low
Train delayed by 5 hours,Delay,Medium
Passenger injured due to sudden brake in sleeper coach,Safety,High
Coach floor is dirty,Cleanliness,Medium
Delay due to technical issue near washroom area,Delay,Medium
No response from railway staff affecting passengers,Staff,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Food packaging is poor in AC coach,Food,Low
Train delayed by 5 hours during night journey,Delay,Medium
No response from railway staff during night journey,Staff,Medium
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Unprofessional staff behavior affecting passengers,Staff,Medium
No food available in pantry during night journey,Food,Low
Toilet smells very bad during night journey,Cleanliness,Medium
Garbage not cleaned near seat,Cleanliness,Medium
Door broken and unsafe in sleeper coach,Safety,High
Delay due to technical issue near washroom area,Delay,Medium
No food available in pantry,Food,Low
Dirty washroom in coach near washroom area,Cleanliness,Medium
Smoke inside coach causing panic during long distance travel,Safety,High
Unprofessional staff behavior in sleeper coach,Staff,Medium
Electric shock near charging point during night journey,Safety,High
Ticket examiner not cooperative in AC coach,Staff,Medium
Unexpected halt for long time,Delay,Medium
Passenger injured due to sudden brake in AC coach,Safety,High
Staff behavior is rude near washroom area,Staff,Medium
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Fire accident in coach during long distance travel,Safety,High
No response from railway staff near washroom area,Staff,Medium
No response from railway staff affecting passengers,Staff,Medium
Delay due to technical issue near washroom area,Delay,Medium
Late arrival at destination during long distance travel,Delay,Medium
Door broken and unsafe affecting passengers,Safety,High
Unexpected halt for long time during long distance travel,Delay,Medium
Water leakage in washroom,Cleanliness,Medium
Fire accident in coach in AC coach,Safety,High
Food packaging is poor affecting passengers,Food,Low
Stale food served in AC coach,Food,Low
Emergency chain not working near washroom area,Safety,High
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Passenger injured due to sudden brake in sleeper coach,Safety,High
Water leakage in washroom affecting passengers,Cleanliness,Medium
Fire accident in coach near washroom area,Safety,High
Food not hygienic in sleeper coach,Food,Low
Passenger injured due to sudden brake near washroom area,Safety,High
Passenger injured due to sudden brake affecting passengers,Safety,High
Food not hygienic affecting passengers,Food,Low
Overpriced food items affecting passengers,Food,Low
Stale food served during night journey,Food,Low
Overpriced food items during long distance travel,Food,Low
No food available in pantry in sleeper coach,Food,Low
Food quality is very bad,Food,Low
Dust and dirt inside coach affecting passengers,Cleanliness,Medium
Unexpected halt for long time,Delay,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Train running behind schedule near washroom area,Delay,Medium
Door broken and unsafe near washroom area,Safety,High
Door broken and unsafe during night journey,Safety,High
No response from railway staff in AC coach,Staff,Medium
No food available in pantry during night journey,Food,Low
Coach floor is dirty during long distance travel,Cleanliness,Medium
Delay due to technical issue near washroom area,Delay,Medium
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Train stopped between stations during long distance travel,Delay,Medium
Food not hygienic,Food,Low
Staff not helping passengers in sleeper coach,Staff,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Food not hygienic near washroom area,Food,Low
Toilet smells very bad in sleeper coach,Cleanliness,Medium
No response from railway staff during night journey,Staff,Medium
No response from railway staff during night journey,Staff,Medium
Door broken and unsafe near washroom area,Safety,High
Electric shock near charging point during night journey,Safety,High
Delay due to technical issue during night journey,Delay,Medium
Train stopped between stations during long distance travel,Delay,Medium
Electric shock near charging point during long distance travel,Safety,High
Train running behind schedule in AC coach,Delay,Medium
No food available in pantry during night journey,Food,Low
Staff ignored passenger complaint during night journey,Staff,Medium
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
No food available in pantry in AC coach,Food,Low
Late arrival at destination during night journey,Delay,Medium
Food not hygienic during long distance travel,Food,Low
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Late arrival at destination during long distance travel,Delay,Medium
Unprofessional staff behavior affecting passengers,Staff,Medium
Door broken and unsafe in sleeper coach,Safety,High
Emergency chain not working during long distance travel,Safety,High
Staff behavior is rude in AC coach,Staff,Medium
Dust and dirt inside coach during night journey,Cleanliness,Medium
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
Door broken and unsafe during long distance travel,Safety,High
Water leakage in washroom affecting passengers,Cleanliness,Medium
Electric shock near charging point in sleeper coach,Safety,High
Emergency chain not working near washroom area,Safety,High
Electric shock near charging point,Safety,High
Train delayed by 5 hours in sleeper coach,Delay,Medium
Ticket examiner not cooperative near washroom area,Staff,Medium
